empresa,codigo_produto,descricao_produto,quantidade,faturamento,pedidos
DECO ELETRO,DE02331-CZ,Suporte De Mola Aérea 45Kg Para Porta Vidro Ipec F2 - CINZA,2.0,140.3,2
DECO ELETRO,DE04384,REFLETOR DE LED 10W BRANCO QUENTE LUMENS PERKON,3.0,128.7,1
DECO ELETRO,DE06213-PT,Botoeira Botok 4 Botão De Inox Acionador De Saida Fech Ipec - PRETO,1.0,122.84,1
DECO ELETRO,DE01502-PT,Sirene Piezoelétrica Alta Potencia 3 Som Para Alarme Ipec - PRETO,6.0,121.83,4
DECO ELETRO,DE01443-RS,Controle Tx Flex Remoto Portão Eletrônico Alarme 433Mhz Ipec,6.0,120.31,6
DECO ELETRO,DE00181-PT,Alarme De Porta Ou Janela Aberta Com Sirene Ipec Com Fio,1.0,119.43,1
DECO ELETRO,DE02528-CZ-127,Trava Eletromagnetica Lock Plus Para Portão Sem Temporizador - CINZA - 127V,1.0,118.0,1
DECO ELETRO,DE02528-CZ-220,Trava Eletromagnetica Lock Plus Para Portão Sem Temporizador - CINZA - 220V,1.0,118.0,1
DECO ELETRO,DE06558-AZ,Controle Remoto Para Portão Tx Top Ipec 433MHz Longo Alcance - AZUL,4.0,117.86,3
DECO ELETRO,DE01494-4,Suporte U Para Porta Fechadura De Vidro Eletromagnetica Ipec - METAL CROMO,1.0,117.36,1
DECO ELETRO,DE02916-127,RESISTENCIA ZAGONEL TORNEIRA LUNA 4 MOMENT 4 TEMPERATURAS 5500W - 127,4.0,114.0,3
DECO ELETRO,DE07029,Receptor RX Flex Mini IPEC P/ Central de Portão Automatizado,4.0,111.78,2
DECO ELETRO,DE00225,Receptor Placa Duplo Custom Code Learn 433mhz Central Ipec,2.0,109.83,2
DECO ELETRO,DE00330,Regua 10 Tomada Rack 19 1u Proteção Contra Sobrecarga Ipec,2.0,106.02,1
DECO ELETRO,DE02335-CZ-127,Trava Eletromagnetica Portão Lock Plus Com Temporizador Ipec - 127 - CINZA,1.0,105.9,1
DECO ELETRO,DE00255-VD,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - Verde,4.0,101.25999999999999,3
DECO ELETRO,DE00195,Sensor Barreira Iva Refletiva Infra Ativo Reflex Corpo Unico,1.0,94.54,1
DECO ELETRO,DE00255-AZ,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - Azul,4.0,94.16,4
DECO ELETRO,DE07487,Sinaleira De Garagem Audiovisual Lux Led Bivolt Ipec,1.0,93.67,1
DECO ELETRO,DE01443-AZ,Controle Tx Flex Remoto Portão Eletrônico Alarme 433Mhz Ipec - AZUL,4.0,93.53999999999999,3
DECO ELETRO,DE06492-BR,"Botoeira Eletrônica 1,3A Com Receptor Temporizada AF12 Ipec",1.0,84.76,1
DECO ELETRO,DE06492-BR,Botoeira Eletrônica 2A Com Receptor Temporizada AF12 Ipec,1.0,84.76,1
DECO ELETRO,DE01507,Central Placa De Comando Motor Portão P3000 St Full Ipec,1.0,83.04,1
DECO ELETRO,DE06398,Sensor Ipec De Movimento Presença Pet 20kg Ir 476,3.0,82.47,1
DECO ELETRO,DE03196,Arandela Led 10w Branco Quente Luz Tubo Parede Hitec,3.0,79.82,2
DECO ELETRO,DE00396,LUMINARIA/ ARANDELA/TARTARUGA LED 12W/ 2700K /OVAL OUROLUX COD.5803,2.0,79.8,1
DECO ELETRO,DE00411,CHAVE INTERRUPTOR ALAVANCA ON OFF METALICA UNIPOLAR 15A 14123 A1B1P1Q-CB MARGIRIUS,2.0,76.0,2
DECO ELETRO,DE06509,Filtro de Linha Metálico 12 Tomadas Extensão Régua Bivolt,1.0,74.61,1
DECO ELETRO,DE00255-RS,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - Rosa,3.0,73.48,3
DECO ELETRO,DE04381-BC,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - BRANCO,5.0,73.1,1
DECO ELETRO,DE04381-RS,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - ROSA,4.0,72.58,2
DECO ELETRO,DE07483,Filtro de Linha Voltimetro Tomadas 8 Extensão Régua Bivolt,1.0,67.38,1
DECO ELETRO,DE06558-VR,Controle Remoto Para Portão Tx Top Ipec 433MHz Longo Alcance - VERMELHO,2.0,66.92,1
DECO ELETRO,DE01776,CHUVEIRINHO MANUAL QUICK DE BANHO FAME,5.0,64.52,4
DECO ELETRO,DE00303,Protetor De Linha Telefonica Protel Contra Surtos Ipec,2.0,63.24,2
DECO ELETRO,DE07580-BR,Botoeira Externo Ipec Aço Inox 3A Porta IP65 Segurança Botão - Branco,1.0,60.9,1
DECO ELETRO,DE07580-PT,Botoeira Externo Ipec Aço Inox 3A Porta IP65 Segurança Botão - Preto,1.0,60.9,1
DECO ELETRO,DE04858,LAMPADA LED BULBO 9W BRANCO QUENTE ELGIN,6.0,58.8,1
DECO ELETRO,DE00909,CHAVE RODA TIPO CRUZ 17X19X21X23MM FOXLUX REF: 45.13,1.0,58.0,1
DECO ELETRO,DE06558-CZ,Controle Remoto Para Portão Tx Top Ipec 433MHz Longo Alcance - CINZA,2.0,56.97,2
DECO ELETRO,DE00255-BR,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - Branco,2.0,54.5,2
DECO ELETRO,DE00248,Botoeira Simples Com Fio Abertura Fechadura Black Portão,2.0,50.54,1
DECO ELETRO,DE07618,Suporte de mesa para celular de ferro preto,3.0,50.010000000000005,2
DECO ELETRO,DE04763,REFLETOR DE LED  SLIM 30W VERDE IP65 AVANT,2.0,49.95,2
DECO ELETRO,DE01181,CHAVE INTERRUPTOR ALAVANCA METALICA ON OFF 10A BIPOLAR CS-301C MB1S/SS-CB MARGIRIUS,1.0,49.9,1
DECO ELETRO,DE03616,INTERRUPTOR WIFI AUTOMAÇAO RESIDENCIAL CASA INTELIGENTE MS101 NOVADIGITAL,1.0,48.0,1
DECO ELETRO,DE01443-LR,Controle Tx Flex Remoto Portão Eletrônico Alarme 433Mhz Ipec - LARANJA,2.0,45.18,2
DECO ELETRO,DE01443-BR,Controle Tx Flex Remoto Portão Eletrônico Alarme 433Mhz Ipec - BRANCO,2.0,43.06,2
DECO ELETRO,DE02945,RESISTENCIA PRATIMIX TIPO L 3T 220V 5500W MAXI DUCHA,4.0,42.64,2
DECO ELETRO,DE03520,REFLETOR LED 10W VERDE AVANT,2.0,41.8,1
DECO ELETRO,DE00207-PT,Sirene Elite Piezoelétrica 12v Alarme E Cerca Elétrica 1 Som,2.0,40.67,2
DECO ELETRO,DE04387-BR,Arandela Luminária Oval Tartaruga Branca Aço Vidro Resistente - BRANCO,2.0,38.0,1
DECO ELETRO,DE07503,Controle Portão Remoto Tx Flex 4 Botões Eletrônico 433Mhz,1.0,36.77,1
DECO ELETRO,DE04381-CZ,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - CINZA,2.0,36.38,1
DECO ELETRO,DE00669,Lâmpada Led Bulbo 12w Bivolt E27 6500k Luz Branca Ourolux,2.0,35.74,2
DECO ELETRO,DE07615,Suporte Fone De Ouvido Headset Mesa Aço Headphone Preto,1.0,33.53,1
DECO ELETRO,DE06558-PT,Controle Remoto Para Portão Tx Top Ipec 433MHz Longo Alcance - PRETO,1.0,33.46,1
DECO ELETRO,DE00144,Módulo Temporizador Para Trava Eletromagnética Bivolt Ipec,1.0,33.24,1
DECO ELETRO,DE00112,LAMPADA VINTAGE LED GLOBO G125 4W BIVOLT 2400K OUROLUX,1.0,30.91,1
DECO ELETRO,DE01346,FONTE COM PINO P4 12V 2A IMPORTADO,2.0,30.840000000000003,2
DECO ELETRO,DE06301,Rele Para Fechadura Eletrônica Ipec Digital  12V  Portão,1.0,29.82,1
DECO ELETRO,DE02178,FONTE CHAVEADA 12V 1A COM BORNE IPEC,1.0,28.88,1
DECO ELETRO,DE00313,Módulo Relé Ipec RELÉ FLAT 3 VIAS Para Travas Luz 110v/220v,1.0,27.37,1
DECO ELETRO,DE02005,Fonte 12v 2a Bivolt Estabilizada Led Alimentação Cftv Plug ,3.0,27.0,2
DECO ELETRO,DE04578,ALICATE DESENCAPADOR CABO GM1050 CHEVROLET,1.0,26.0,1
DECO ELETRO,DE06558-LR,Controle Remoto Para Portão Tx Top Ipec 433MHz Longo Alcance - LARANJA,1.0,25.9,1
DECO ELETRO,DE01533-VD,Controle Remoto Tx Ipec Portão 433Mhz Saw Ppa Garen Seg Rcg - VERDE,1.0,25.69,1
DECO ELETRO,DE04381-AZ,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - AZUL,1.0,25.59,1
DECO ELETRO,DE04381-LJ,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - LARANJA,1.0,25.59,1
DECO ELETRO,DE04381-VD,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - VERDE,1.0,25.59,1
DECO ELETRO,DE00255-RX,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - ROXO,1.0,24.52,1
DECO ELETRO,DE01533-RS,Controle Remoto Tx Ipec Portão 433Mhz Saw Ppa Garen Seg Rcg - ROSA,1.0,24.4,1
DECO ELETRO,DE00313,MÓDULO RELÉ PARA ACIONAMENTOS DE TRAVAS - IPEC,1.0,23.7,1
DECO ELETRO,DE00965,LÂMPADA BULBO LED A60 9W BIVOLT 6500K YU ELGIN,4.0,22.0,1
DECO ELETRO,DE05921-B,TORNEIRA DE COZINHA BICA MOVEL DE PAREDE SIMPLES CRYSTALINA - Branco,1.0,19.9,1
DECO ELETRO,DE00162-PT,CAIXA PLÁSTICA IN BOX IPEC  - PRETO,1.0,10.56,1
DECO HOME,DH02317,LIQUIDIFICADOR VINTAGE VERDE 1000W 127V - ARIETE,11.0,6428.0599999999995,11
DECO HOME,DH04054,LIQUIDIFICADOR VINTAGE VERDE 1000W 220V-ARIETE,10.0,5815.1,10
DECO HOME,DH02324,FORNO DE PIZZA ELETRICO PRETO 1200W 127V ARIETE,4.0,4556.0,4
DECO HOME,DH03365,MAQUINA DE CAFÉ MANUAL VINTAGE VERDE 127V ARIETE,6.0,4280.0,6
DECO HOME,DH04066,"BATEDEIRA PLANETARIA POSITANO 600W 220V 5,5L - ARIETE",2.0,3418.0,2
DECO HOME,DH02318,BATEDEIRA VINTAGE VERDE 600W 127V ARIETE,2.0,2918.0,2
DECO HOME,DH04063,"BATEDEIRA PALNETARIA VINTAGE VERDE 5,5L 600W 220V -ARIETE",2.0,2908.06,2
DECO HOME,DH02593,ESPREMEDOR PRO VINTAGE VERDE 127V - ARIETE,5.0,2899.5,5
DECO HOME,DH01746,SANDUICHEIRA PARTY TIME VERMELHA 127V 3 EM 1 700W ARIETE,5.0,2420.1499999999996,5
DECO HOME,DH04542,"SORVETEIRA 1,5L PARTY TIME 12W VERMELHA 12W 127V ARIETE",5.0,2363.39,5
DECO HOME,DH03899,ESPREMEDOR PRO VINTAGE AZUL 220V 85W - ARIETE,4.0,2325.05,4
DECO HOME,DH02323,FORNO PIZZA ELETRICO VERMELHO 1200W 127V - ARIETE,2.0,2278.1,2
DECO HOME,DH04057,ESPREMEDOR PRO VINTAGE VERDE 220V 85W - ARIETE,4.0,2240.0,4
DECO HOME,DH01748,TRITURADOR VINTAGE VERDE 127V - ARIETE,8.0,2217.1000000000004,8
DECO HOME,DH04060,CHALEIRA ELETRICA VINTAGE AZUL AÇO INOX 2000W 220V - ARIETE,4.0,2130.12,4
DECO HOME,DH03901,CHALEIRA ELETICA POSITANO 127V 1500W - ARIETE,3.0,1908.06,3
DECO HOME,DH04334,"BATEDEIRA PLANETARIA 5,5L CAPRI 127V 600W ACESSORIOS ARIETE",1.0,1745.03,1
DECO HOME,DH04062,TORRADEIRA ELETRICA VINTAGE AZUL 2 FATIAS 810W 220V-ARIETE,4.0,1728.0,4
DECO HOME,DH04079,"CHALEIRA ELETRICA MODERNA PRETA 220V 1850W 1,7L ARIETE",3.0,1614.06,3
DECO HOME,DH03413,TORRADEIRA ELETRICO  POSITANO 750W 220V - ARIETE,2.0,1166.25,2
DECO HOME,DH04056,TRITURADOR VINTAGE VERDE 400W 220V-ARIETE,4.0,1160.12,4
DECO HOME,DH03898,TRITURADOR VINTAGE AZUL 400W 220V - ARIETE,4.0,1130.76,4
DECO HOME,DH01455,MANDOLIM INOX COM 5 LAMINAS HERCULES,4.0,980.0,4
DECO HOME,DH01747,TORRADEIRA ELETRICA VINTAGE VERDE 127V - ARIETE,2.0,938.0,2
DECO HOME,DH02326,FOGAO POR INDUÇAO PORTATIL 3500W 220V 2 BOCAS - ARIETE,1.0,923.73,1
DECO HOME,DH04077,TORRADEIRA ELETR MODERNA PRETA 750W 220V-ARIETE,2.0,898.0,2
DECO HOME,DH03057,MAQUINA WAFFLE PARTY TIME VERM 700W 127V - ARIETE,3.0,836.6999999999999,3
DECO HOME,DH03411,LIQUIDIFICADOR POSITANO 220V -ARIETE,1.0,799.0,1
DECO HOME,DH03897,"LIQUIDIFICADOR 583 POSITANO 127V 1,5L COPO DE VIDRO ARIETE",1.0,799.0,1
DECO HOME,DH04330,LIQUIDIFICADOR VINTAGE CAPRI 127V - ARIETE,1.0,736.28,1
DECO HOME,DH03900,ESPREMEDOR PRO POSITANO 127V 60W-ARIETE,1.0,699.0,1
DECO HOME,DH03414,GRILL ELETRICO PARTY TIME VERMELHO 1200W 220V - ARIETE,2.0,698.58,2
DECO HOME,DH04710,JOGO 2  TAÇAS DE VINHO VERITAS 760ML CRISTAL ECOLOGICO WOLFF,3.0,694.77,2
DECO HOME,DH04579,CONJUNTO 2 TAÇA DE VINHO BALLS FIO DE OURO 350ML VIDRO WOLFF,4.0,639.96,1
DECO HOME,DH04331,ESPREMEDOR DE FRUTAS CAPRI 127V 60W ARIETE,1.0,635.0,1
DECO HOME,DH03412,CHALEIRA ELETRICA POSITANO 220V 1850W - ARIETE,1.0,629.53,1
DECO HOME,DH04332,"CHALEIRA ELETRICA CAPRI 127V 1,7lL BASE 360º 1500W ARIETE",1.0,616.0,1
DECO HOME,DH03902,TORRADEIRA ELETRICA POSITANO 750W 127V - ARIETE,1.0,599.0,1
DECO HOME,DH04585,"CONJUNTO 6 COPOS 370ML E 1 JARRA 1,5L DAISY CRISTAL WOLFF",3.0,593.97,3
DECO HOME,DH03058,MAQUINA WAFFLE PARTY TIME VERM 700W 220V ARIETE,2.0,568.94,2
DECO HOME,DH03750,CAIXA CORREIOS METAL NATALINA 50CM VERMELHO GRILLO,1.0,549.47,1
DECO HOME,DH02322,CHALEIRA ELET MODERNA PRETA 127V 1500W-ARIETE,1.0,549.0,1
DECO HOME,DH02893,CHALEIRA ELET MODERNA VERMELHA 127V 1500W - ARIETE,1.0,532.53,1
DECO HOME,DH01749,CHALEIRA ELETRICA VINTAGE VERDE 127V - ARIETE,1.0,512.51,1
DECO HOME,DH02895,MAQUINA CAFÉ MANUAL MODERNA VERMELHA 127V - ARIETE,1.0,502.0,1
DECO HOME,DH02892,TORRADEIRA ELETRICA MODERNA VERMELHA 750W 127V - ARIETE,1.0,493.24,1
DECO HOME,DH04557,GARRAFA TERMICA BARISTA CREME DOURADO MARROM 1000ML TUUT,1.0,416.12,1
DECO HOME,DU00041,VASO EM CERAMICA VERMELHO COLORIDO FLORAL  21CM GRILLO,1.0,406.11,1
DECO HOME,DH04517,CONJUNTO 4 PEÇAS COLHERES DE SOBREMESA LIMONE SICILIANO TUUT,5.0,400.6,3
DECO HOME,DE01109,CAFE TORRADO EM GRÃO E EM PÓ 1KG SABOR DE GARÇA,4.0,395.76,2
DECO HOME,DH04697,KIT 6 TAÇAS VINHO BRANCO CRISTAL BOHEMIA COLIBRI 350ML WOLFF,4.0,378.04,3
DECO HOME,DH04552,"PORTA RETRATO POLIRESINA BE HAPPY VERMELHO 18X22,5CM TUUT",2.0,276.88,2
DECO HOME,DH04508,COPO VIDRO DUBAI FLORAL AVULSO 11X8CM  350 ML DECORMARTIN,8.0,253.28,2
DECO HOME,DH04712,KIT 6 TAÇAS CHAMPAGNE CRISTAL ECOLOGICO BOHEMIA 210ML WOLFF,1.0,231.59,1
DECO HOME,DH04551,PORTA RETRATO POLIRESINA BE HAPPY VERMELHO 15X20CM TUUT,2.0,222.0,2
DECO HOME,DH01803,GALHETEIRO VIDRO COM SUPORTE INOX TUUT,1.0,212.99,1
DECO HOME,DH03165,"ESPAGUETEIRA 5,7 L - GRF BRINOX",1.0,210.48,1
DECO HOME,DU00112,POTE COELHO COM TAMPA BRANCO PÁSCOA CERAMICA 23 CM FLORARTE,1.0,184.41,1
DECO HOME,DH03936,POTICHE CRMC REDONDO NATAL PRESENTE VERMELHO SANTA CECILIA,1.0,178.51,1
DECO HOME,DH04708,"TAÇA DAISY COM 320ML EM CRISTAL 16,5X9X9 WOLFF",6.0,167.58,1
DECO HOME,DH01669,Copo de Cristal para Água 400ml Haus Cada,4.0,163.72,3
DECO HOME,DH04577,"POTE DE VIDRO COM TAMPA DA MADEIRA PINUS 2,4L WOLF",2.0,157.98,1
DECO HOME,DH04553,PORTA RETRATO PASSARO PLUMAS BRANCA 19X22CM TUUT,1.0,146.99,1
DECO HOME,DU00465,CANECA CEREMICA ROSQUINHA DOCE ROSA 3401ML 10X14CM FLORARTE,1.0,145.44,1
DECO HOME,DE07607,AÇUCAREIRO PORCELANA REGAL BORDA DOURADA  300ML HAUSKRAFT,2.0,133.9,2
DECO HOME,DH04276,CANECA LACO PORCELANA TOK DA CASA,1.0,126.46,1
DECO HOME,DH04586,"PRATO DOCES COM PE TAMPA DAISY 19,5X19,5X21,5 CRISTAL WOLFF",1.0,123.18,1
DECO HOME,DE05847,CAIXA TERMICA 26L PRETA MOR,1.0,117.99,1
DECO HOME,DU00043,"AMPULHETA DE VIDRO 1 MINUTO 12X7,5 VERDE - GRILLO",1.0,116.0,1
DECO HOME,DU00326,"LEITEIRA PRETA CARVALHO 1,5 L ALUMINIO E BAQUELITE CLINCK",1.0,113.8,1
DECO HOME,DH02810,"FUE INOX 26,5CM UT88-10 MUNDIAL",2.0,106.94,2
DECO HOME,DH03742,ROLO ADESIVEL LAVAVEL FLASH LIMP,2.0,104.66,2
DECO HOME,DH04618,"POTICHE VIDRO FORMATO BUTTERFLY TRANSPARENTE 11,5X8X7CM TUUT",2.0,104.64,2
DECO HOME,DH01645,Refil Difusor 300ml Essencia Chá Branco Greenswet,1.0,97.34,1
DECO HOME,DE03893,Porta Facas E Utensilios Inox Mimo Style,1.0,93.37,1
DECO HOME,DH02328,"PRATO RASO DE CERAMICA LINES CREME 27,5CM WOLFF",2.0,92.14,1
DECO HOME,DE04462,CHOCOLATE EUROPEU 1KG SABOR DE GARÇA,1.0,91.46,1
DECO HOME,DU00012,VASO DE VIDRO 15X20CM TUBO TRANSPARENTE - GRILLO,1.0,89.0,1
DECO HOME,DU00303,CONJUNTO DE 6 TAÇAS SOBREMESA VIDRO DIAMOND 310 ML CASART,1.0,85.36,1
DECO HOME,DH04509,TAÇA BARONE VIDRO 490ML AGUA FLORAL AVULSA DECORMARTIN,2.0,77.6,1
DECO HOME,DE05907,BANDEJA DE METAL COM ESPELHO PRETA 15CM X 25CM X 4CM,1.0,73.99,1
DECO HOME,DE07602,SALEIRO CERAMICA BAMBU PRETO COM COLHER  290ML HAUSKRAFT,1.0,65.73,1
DECO HOME,DH04719,PORTA-RETRATO ONDELLE 10CMX15CM CREME MDF WOLFF,1.0,65.73,1
DECO HOME,DE07598,AÇUCAREIRO VIDRO AMBAR COM COLHER VIDRO HAUSKRAFT,2.0,62.65,2
DECO HOME,DH02238,ESPATULA VAZADA SILICONE BEGE CANELADO 32CM FLORARTE,2.0,61.34,2
DECO HOME,DH00844,ESPATULAS ACO INOX LEAVES DOURADO WOLFF,3.0,59.44,2
DECO HOME,DE05852,PRATO SOBREMESA PRO PORCELANA 20CM OXFORD,2.0,53.98,1
DECO HOME,DH03535,PRATO RASO DIAMANTE EM CRISTAL 27CM VERDE FULL FIT,1.0,50.99,1
DECO HOME,DH01700,TAÇA VINHO BRANCO BUTTERFLY 450ML FLORARTE,1.0,50.05,1
DECO HOME,DH04695,PORTA-RETRATO DE MDF PRETO JUTE 15CM X 20CM WOLFF,1.0,47.44,1
DECO HOME,DH03581,CANECA CHERRY VIDRO BOROSSILICATO 280ML LYOR,1.0,27.72,1
DECO HOME,DH00486,ESPATULAS PRATEADA EM AÇO INOX LEAVES WOLFF,1.0,21.04,1
DECO HOME,DH04617,ESPATULA RAPA TUDO DE SILICONE COM INOX ELITE 24CM TUUT,1.0,16.33,1
DECO UTILIDADES,DH02317,LIQUIDIFICADOR VINTAGE VERDE 1000W 127V - ARIETE,1.0,649.0,1
DECO UTILIDADES,DH02322,CHALEIRA ELET MODERNA PRETA 127V 1500W-ARIETE ,1.0,649.0,1
DECO UTILIDADES,DH01321,"PANELA DE PRESSÃO AÇO INOX 4,5L BRAVA TRAMONTINA",1.0,643.9,1
DECO UTILIDADES,DH04332,"CHALEIRA ELETRICA CAPRI 127V 1,7lL BASE 360º 1500W ARIETE",1.0,616.55,1
DECO UTILIDADES,DE01317,CAPUCCINO TRADICIONAL 1 KG SABOR DE GARÇA ,8.0,520.0,8
DECO UTILIDADES,DE01109,CAFE TORRADO EM GRÃO E EM PÓ 1KG SABOR DE GARÇA,6.0,510.0,6
DECO UTILIDADES,DH01746,SANDUICHEIRA PARTY TIME VERMELHA 127V 3 EM 1 700W ARIETE,1.0,499.0,1
DECO UTILIDADES,DU00252,"MANTA SOFA ALGODAO (OFF WHITE) 1,5X1,25m FLORARTE",1.0,463.9,1
DECO UTILIDADES,DE01354,CAFE TORRADO E MOIDO TRADICIONAL EM PÓ SABOR DE GARÇA 500G,14.0,448.0,9
DECO UTILIDADES,DU00472,"TOALHA DE CHA 1,00X1,00CM MARA AGOSTINHO",3.0,405.0,2
DECO UTILIDADES,DE05920,"Vale Presente  R$ 100,00",4.0,400.0,2
DECO UTILIDADES,DU00328,FRIGIDEIRA WOK TAMPA SAFIRA 3 L ALUMÍNIO INOX VIDRO  CLINCK,2.0,353.8,2
DECO UTILIDADES,DH03552,JG 8 PÇS XICARA CAFÉ PAPILLON EM CRISTAL ECOLOGICO C/ALÇA BORBOLETA 110ML FULL FIT ,1.0,300.8,1
DECO UTILIDADES,DH04412,TOALHA DE MESA QUADRADA DE ALGODÃO 1.50X1.50CM PROJETO PATINHAS,3.0,300.0,2
DECO UTILIDADES,DE07608,JOGO 4  XICARA CHA REGAL PORCELANA 200ML COM PIRES HAUSKRAFT,2.0,299.8,1
DECO UTILIDADES,DH03057,MAQUINA WAFFLE PARTY TIME VERM 700W 127V - ARIETE,1.0,299.0,1
DECO UTILIDADES,DE03967,"WOK COM TAMPA CERAMIC LIFE OPTIMA 3,4L BRINOX",1.0,289.9,1
DECO UTILIDADES,DH00682,BANDEJA DE MESA MADEIRA COM BRANCO FLORARTE,2.0,251.8,1
DECO UTILIDADES,DU00345,DÁLIA LILÁS VIVAFLOR COD 11333,9.0,251.1,1
DECO UTILIDADES,DH00012,FAQUEIRO NICE 24 PEÇAS ACO INOX  FLORARTE ,1.0,239.9,1
DECO UTILIDADES,DU00334,"CHALEIRA SILVER 2,5 L AÇO INOX E NYLON 21X19X22 CM CLINCK",4.0,239.6,4
DECO UTILIDADES,DU00466,"BANDEJA DECOR CERAMICA CORACAO ROSA 2,6X32,3X12,3CM FLORARTE",2.0,235.8,2
DECO UTILIDADES,DH01214,GRANULADO SANITARIO FININHO 4KG PEEPOOP,4.0,232.0,2
DECO UTILIDADES,DU00283,"BANDEJA MD ACACIA 5,5X32cm (BEGE) FLORARTE",1.0,227.9,1
DECO UTILIDADES,DH04484,ALMOFADA XADREZ VERDE 174 COM ABA 43 cm x 43 cm BELCHIOR,3.0,227.7,1
DECO UTILIDADES,DH04488,ALMOFADA LISA VERDE 161 COM CORDONE 43 cm x 43 cm BELCHIOR,3.0,227.7,1
DECO UTILIDADES,DE03187,CAFE TORRADO E MOIDO EXTRA FORTE EM PÓ 500G SABOR DE GARÇA ,7.0,224.0,3
DECO UTILIDADES,DH04211,BANDEJA EM POLIRRESINA,2.0,219.8,2
DECO UTILIDADES,DU00150,FOLHA ENVELHECIDA  VIVAFLOR COD 2482,4.0,215.6,1
DECO UTILIDADES,DH04584,PRATO PARA BOLO COM PE DAISY CRISTAL WOF,2.0,211.8,2
DECO UTILIDADES,DH01029,PASSADEIRA A VAPOR 127V CADENCE,1.0,209.9,1
DECO UTILIDADES,DE07593,BOLEIRA DE VIDRO 29CM COM PÉ E CUPULA CENTRO MESA  HAUSKRAFT,2.0,193.9,2
DECO UTILIDADES,DH00531,POTICHE VIDRO DIAMANTE COM TAMPA LILIAN,6.0,191.4,1
DECO UTILIDADES,DH01548,Lixeira Com Pedal 5L Fluted Cinza Jolitex,1.0,184.0,1
DECO UTILIDADES,DH02578,IM029DC-RS_NOSSA SRA. APARECIDA BRANCA DECOUPADA ROSA 28CM ARTE SANTA,1.0,183.9,1
DECO UTILIDADES,DU00489,KIT PARA O DIA DAS MAES DECO HOME ,7.0,181.3,1
DECO UTILIDADES,DH04600,KIT 6 BISC AMANTEIGADO 50g 1 MINI GELEIA FRUTAS VERM 45g ARTE CACAU,4.0,179.6,3
DECO UTILIDADES,DU00242,MAGNOLIA (VERDE OLIVA) 80cm FLORARTE,4.0,179.6,1
DECO UTILIDADES,DH00330,TIGELA VIDRO COM BORDA 20CM DOURADA  ,6.0,179.4,1
DECO UTILIDADES,DH02407,BANDEJA PORCELANA RETANGULAR BRANCO DOURADO 30CM  FLORARTE,1.0,175.9,1
DECO UTILIDADES,DH00598,CENTRO DE MESA DE VIDRO  286 DAYHOME,2.0,175.8,2
DECO UTILIDADES,DH04452,BANDEJA EM METAL COM ESPELHO MART,1.0,168.9,1
DECO UTILIDADES,DH00740,PORTA BOLO DE BAMBU 40CM MUNDIART,2.0,167.8,2
DECO UTILIDADES,DH00347,Difusor De Aromas Flor De Laranja 250ml Greenswet,1.0,159.9,1
DECO UTILIDADES,DU00474,BISCOITO BAUNILHA AMANTEIGADO DIA DAS MÃES CADA,27.0,159.3,6
DECO UTILIDADES,DH02123,CONJUNTO 4 PEÇAS PRA CHURRASCO AÇO INOX CABO EM MADEIRA MOR,1.0,156.9,1
DECO UTILIDADES,DH01374,SABONETE LIQUIDO 250ML ESSENCIA BAMBU GREENSWET ,1.0,154.9,1
DECO UTILIDADES,DU00322,LIXEIRA BASCULANTE 1UN EM AÇO INOX 8 L 29X25X25CM CLINCK,1.0,154.9,1
DECO UTILIDADES,DH01257,KIT BANHEIRO CIMENTO BRANCO 3 PEÇAS MART ,1.0,149.9,1
DECO UTILIDADES,DH04717,PORTA-RETRATO BOSTON 10CM X 15CM MDF WOLFF,6.0,143.39999999999998,3
DECO UTILIDADES,DE04462,CHOCOLATE EUROPEU 1KG SABOR DE GARÇA,2.0,140.0,2
DECO UTILIDADES,DE03088,CAFETEIRA ELETRICA 18CAFES CONTRAST CADENCE,1.0,139.9,1
DECO UTILIDADES,DH03354,JG 12PÇS XICARA CHÁ VIDRO C/PIRES 210ML PLANETA,1.0,139.9,1
DECO UTILIDADES,DH04585,"CJ 6 COPOS 370ML E 1 JARRA 1,5L DAISY CRISTAL WOLF",1.0,139.9,1
DECO UTILIDADES,DH0941,ABAJUR COBRE COM ACRILICO BIVOLT 40W ALFACELL,1.0,139.9,1
DECO UTILIDADES,DU00342,"CHALEIRA ELETRICA 1,8L 127V PLASTICO PP E AÇO INOX  CLINCK",2.0,139.8,2
